"date","Number of Incidents"
"Aug 20,  2020","88"
"Aug 21,  2020","108"
"Aug 22,  2020","106"
"Aug 23,  2020","103"
"Aug 24,  2020","125"
"Aug 25,  2020","109"
"Aug 26,  2020","114"
"Aug 27,  2020","102"
"Aug 28,  2020","104"
"Aug 29,  2020","111"
"Aug 30,  2020","111"
"Aug 31,  2020","123"
"Sep 1,  2020","169"
"Sep 2,  2020","115"
"Sep 3,  2020","101"
"Sep 4,  2020","117"
"Sep 5,  2020","101"
"Sep 6,  2020","85"
"Sep 7,  2020","109"
"Sep 8,  2020","90"
"Sep 9,  2020","93"
"Sep 10,  2020","105"
"Sep 11,  2020","103"
"Sep 12,  2020","106"
"Sep 13,  2020","93"
"Sep 14,  2020","114"
"Sep 15,  2020","106"
"Sep 16,  2020","108"
"Sep 17,  2020","78"
"Sep 18,  2020","112"
"Sep 19,  2020","123"
"Sep 20,  2020","95"
"Sep 21,  2020","105"
"Sep 22,  2020","96"
"Sep 23,  2020","98"
"Sep 24,  2020","111"
"Sep 25,  2020","110"
"Sep 26,  2020","100"
"Sep 27,  2020","90"
"Sep 28,  2020","100"
"Sep 29,  2020","96"
"Sep 30,  2020","120"
"Oct 1,  2020","178"
"Oct 2,  2020","104"
"Oct 3,  2020","82"
"Oct 4,  2020","89"
"Oct 5,  2020","85"
"Oct 6,  2020","101"
"Oct 7,  2020","100"
"Oct 8,  2020","94"
"Oct 9,  2020","101"
"Oct 10,  2020","82"
"Oct 11,  2020","89"
"Oct 12,  2020","100"
"Oct 13,  2020","92"
"Oct 14,  2020","104"
"Oct 15,  2020","99"
"Oct 16,  2020","95"
"Oct 17,  2020","109"
"Oct 18,  2020","95"
"Oct 19,  2020","109"
"Oct 20,  2020","91"
"Oct 21,  2020","108"
"Oct 22,  2020","104"
"Oct 23,  2020","104"
"Oct 24,  2020","106"
"Oct 25,  2020","76"
"Oct 26,  2020","65"
"Oct 27,  2020","70"
"Oct 28,  2020","67"
"Oct 29,  2020","82"
"Oct 30,  2020","84"
"Oct 31,  2020","93"
"Nov 1,  2020","172"
"Nov 2,  2020","93"
"Nov 3,  2020","83"
"Nov 4,  2020","101"
"Nov 5,  2020","96"
"Nov 6,  2020","112"
"Nov 7,  2020","104"
"Nov 8,  2020","96"
"Nov 9,  2020","113"
"Nov 10,  2020","105"
"Nov 11,  2020","87"
"Nov 12,  2020","98"
"Nov 13,  2020","101"
"Nov 14,  2020","91"
"Nov 15,  2020","94"
"Nov 16,  2020","125"
"Nov 17,  2020","107"
"Nov 18,  2020","109"
"Nov 19,  2020","97"
"Nov 20,  2020","99"
"Nov 21,  2020","103"
"Nov 22,  2020","93"
"Nov 23,  2020","111"
"Nov 24,  2020","89"
"Nov 25,  2020","111"
"Nov 26,  2020","80"
"Nov 27,  2020","116"
"Nov 28,  2020","86"
"Nov 29,  2020","91"
"Nov 30,  2020","104"
"Dec 1,  2020","181"
"Dec 2,  2020","100"
"Dec 3,  2020","101"
"Dec 4,  2020","124"
"Dec 5,  2020","113"
"Dec 6,  2020","109"
"Dec 7,  2020","139"
"Dec 8,  2020","98"
"Dec 9,  2020","110"
"Dec 10,  2020","113"
"Dec 11,  2020","133"
"Dec 12,  2020","107"
"Dec 13,  2020","99"
"Dec 14,  2020","119"
"Dec 15,  2020","131"
"Dec 16,  2020","122"
"Dec 17,  2020","137"
"Dec 18,  2020","154"
"Dec 19,  2020","103"
"Dec 20,  2020","118"
"Dec 21,  2020","143"
"Dec 22,  2020","167"
"Dec 23,  2020","132"
"Dec 24,  2020","85"
"Dec 25,  2020","63"
"Dec 26,  2020","112"
"Dec 27,  2020","128"
"Dec 28,  2020","132"
"Dec 29,  2020","142"
"Dec 30,  2020","126"
"Dec 31,  2020","149"
"Jan 1,  2021","259"
"Jan 2,  2021","127"
"Jan 3,  2021","110"
"Jan 4,  2021","206"
"Jan 5,  2021","169"
"Jan 6,  2021","160"
"Jan 7,  2021","153"
"Jan 8,  2021","202"
"Jan 9,  2021","103"
"Jan 10,  2021","87"
"Jan 11,  2021","130"
"Jan 12,  2021","144"
"Jan 13,  2021","125"
"Jan 14,  2021","112"
"Jan 15,  2021","135"
"Jan 16,  2021","102"
"Jan 17,  2021","91"
"Jan 18,  2021","106"
"Jan 19,  2021","132"
"Jan 20,  2021","115"
"Jan 21,  2021","130"
"Jan 22,  2021","114"
"Jan 23,  2021","94"
"Jan 24,  2021","109"
"Jan 25,  2021","147"
"Jan 26,  2021","121"
"Jan 27,  2021","111"
"Jan 28,  2021","118"
"Jan 29,  2021","112"
"Jan 30,  2021","101"
"Jan 31,  2021","115"
"Feb 1,  2021","149"
"Feb 2,  2021","119"
"Feb 3,  2021","104"
"Feb 4,  2021","119"
"Feb 5,  2021","127"
"Feb 6,  2021","99"
"Feb 7,  2021","116"
"Feb 8,  2021","133"
"Feb 9,  2021","109"
"Feb 10,  2021","103"
"Feb 11,  2021","90"
"Feb 12,  2021","108"
"Feb 13,  2021","95"
"Feb 14,  2021","63"
"Feb 15,  2021","90"
"Feb 16,  2021","138"
"Feb 17,  2021","79"
"Feb 18,  2021","95"
"Feb 19,  2021","126"
"Feb 20,  2021","93"
"Feb 21,  2021","74"
"Feb 22,  2021","119"
"Feb 23,  2021","104"
"Feb 24,  2021","116"
"Feb 25,  2021","97"
"Feb 26,  2021","119"
"Feb 27,  2021","85"
"Feb 28,  2021","100"
"Mar 1,  2021","196"
"Mar 2,  2021","133"
"Mar 3,  2021","133"
"Mar 4,  2021","153"
"Mar 5,  2021","149"
"Mar 6,  2021","106"
"Mar 7,  2021","120"
"Mar 8,  2021","189"
"Mar 9,  2021","152"
"Mar 10,  2021","180"
"Mar 11,  2021","176"
"Mar 12,  2021","182"
"Mar 13,  2021","90"
"Mar 14,  2021","86"
"Mar 15,  2021","153"
"Mar 16,  2021","157"
"Mar 17,  2021","154"
"Mar 18,  2021","136"
"Mar 19,  2021","141"
"Mar 20,  2021","126"
"Mar 21,  2021","78"
"Mar 22,  2021","143"
"Mar 23,  2021","154"
"Mar 24,  2021","129"
