"Domestic Violence 5-year Trend"
"Current date: 12/3/2022 4:19:32 PM (Mountain Standard Time)"
"Data source: Colorado_SS, Victim Data"
"Jurisdiction by Geography: El Paso County"
"Measures: Number of Victims"
"Offense Type","All Offense Types",
"Incident Date"
"Jul 14,  2020","117"
"Jul 15,  2020","115"
"Jul 16,  2020","92"
"Jul 17,  2020","117"
"Jul 18,  2020","112"
"Jul 19,  2020","113"
"Jul 20,  2020","108"
"Jul 21,  2020","113"
"Jul 22,  2020","147"
"Jul 23,  2020","120"
"Jul 24,  2020","97"
"Jul 25,  2020","143"
"Jul 26,  2020","102"
"Jul 27,  2020","145"
"Jul 28,  2020","80"
"Jul 29,  2020","121"
"Jul 30,  2020","121"
"Jul 31,  2020","133"
"Aug 1,  2020","189"
"Aug 2,  2020","95"
"Aug 3,  2020","129"
"Aug 4,  2020","139"
"Aug 5,  2020","116"
"Aug 6,  2020","126"
"Aug 7,  2020","135"
"Aug 8,  2020","136"
"Aug 9,  2020","115"
"Aug 10,  2020","182"
"Aug 11,  2020","122"
"Aug 12,  2020","116"
"Aug 13,  2020","108"
"Aug 14,  2020","112"
"Aug 15,  2020","143"
"Aug 16,  2020","108"
"Aug 17,  2020","166"
"Aug 18,  2020","134"
"Aug 19,  2020","102"
"Aug 20,  2020","107"
"Aug 21,  2020","127"
"Aug 22,  2020","132"
"Aug 23,  2020","132"
"Aug 24,  2020","145"
"Aug 25,  2020","141"
"Aug 26,  2020","146"
"Aug 27,  2020","120"
"Aug 28,  2020","121"
"Aug 29,  2020","135"
"Aug 30,  2020","132"
"Aug 31,  2020","145"
"Sep 1,  2020","202"
"Sep 2,  2020","139"
"Sep 3,  2020","124"
"Sep 4,  2020","146"
"Sep 5,  2020","128"
"Sep 6,  2020","101"
"Sep 7,  2020","154"
"Sep 8,  2020","106"
"Sep 9,  2020","104"
"Sep 10,  2020","125"
"Sep 11,  2020","118"
"Sep 12,  2020","126"
"Sep 13,  2020","108"
"Sep 14,  2020","135"
"Sep 15,  2020","116"
"Sep 16,  2020","127"
"Sep 17,  2020","90"
"Sep 18,  2020","129"
"Sep 19,  2020","136"
"Sep 20,  2020","129"
"Sep 21,  2020","117"
"Sep 22,  2020","115"
"Sep 23,  2020","111"
"Sep 24,  2020","148"
"Sep 25,  2020","127"
"Sep 26,  2020","126"
"Sep 27,  2020","111"
"Sep 28,  2020","111"
"Sep 29,  2020","117"
"Sep 30,  2020","155"
"Oct 1,  2020","216"
"Oct 2,  2020","124"
"Oct 3,  2020","98"
"Oct 4,  2020","113"
"Oct 5,  2020","95"
"Oct 6,  2020","127"
"Oct 7,  2020","111"
"Oct 8,  2020","111"
"Oct 9,  2020","116"
"Oct 10,  2020","98"
"Oct 11,  2020","105"
"Oct 12,  2020","123"
"Oct 13,  2020","103"
"Oct 14,  2020","127"
"Oct 15,  2020","114"
"Oct 16,  2020","106"
"Oct 17,  2020","133"
"Oct 18,  2020","119"
"Oct 19,  2020","123"
"Oct 20,  2020","99"
"Oct 21,  2020","129"
"Oct 22,  2020","124"
"Oct 23,  2020","125"
"Oct 24,  2020","130"
"Oct 25,  2020","91"
"Oct 26,  2020","81"
"Oct 27,  2020","82"
"Oct 28,  2020","74"
"Oct 29,  2020","95"
"Oct 30,  2020","98"
"Oct 31,  2020","106"
"Nov 1,  2020","206"
"Nov 2,  2020","119"
"Nov 3,  2020","99"
"Nov 4,  2020","127"
"Nov 5,  2020","121"
"Nov 6,  2020","129"
"Nov 7,  2020","126"
"Nov 8,  2020","103"
"Nov 9,  2020","148"
"Nov 10,  2020","121"
"Nov 11,  2020","99"
"Nov 12,  2020","128"
"Nov 13,  2020","132"
"Nov 14,  2020","117"
"Nov 15,  2020","118"
"Nov 16,  2020","151"
"Nov 17,  2020","125"
"Nov 18,  2020","135"
"Nov 19,  2020","117"
"Nov 20,  2020","110"
"Nov 21,  2020","135"
"Nov 22,  2020","110"
"Nov 23,  2020","125"
"Nov 24,  2020","104"
"Nov 25,  2020","149"
"Nov 26,  2020","101"
"Nov 27,  2020","133"
"Nov 28,  2020","98"
"Nov 29,  2020","121"
"Nov 30,  2020","119"
"Dec 1,  2020","197"
"Dec 2,  2020","119"
"Dec 3,  2020","130"
"Dec 4,  2020","149"
"Dec 5,  2020","138"
"Dec 6,  2020","137"
"Dec 7,  2020","175"
"Dec 8,  2020","111"
"Dec 9,  2020","128"
"Dec 10,  2020","135"
"Dec 11,  2020","171"
"Dec 12,  2020","133"
"Dec 13,  2020","117"
"Dec 14,  2020","151"
"Dec 15,  2020","157"
"Dec 16,  2020","143"
"Dec 17,  2020","161"
"Dec 18,  2020","170"
"Dec 19,  2020","129"
"Dec 20,  2020","140"
"Dec 21,  2020","163"
"Dec 22,  2020","189"
"Dec 23,  2020","153"
"Dec 24,  2020","87"
"Dec 25,  2020","76"
"Dec 26,  2020","130"
"Dec 27,  2020","142"
"Dec 28,  2020","152"
"Dec 29,  2020","159"
"Dec 30,  2020","134"
"Dec 31,  2020","164"
"Jan 2021","4,697"
"Jan 1,  2021","316"
"Jan 2,  2021","148"
"Jan 3,  2021","130"
"Jan 4,  2021","229"
"Jan 5,  2021","192"
"Jan 6,  2021","178"
"Jan 7,  2021","184"
"Jan 8,  2021","225"
"Jan 9,  2021","118"
"Jan 10,  2021","118"
"Jan 11,  2021","137"
"Jan 12,  2021","158"
"Jan 13,  2021","149"
"Jan 14,  2021","144"
"Jan 15,  2021","163"
"Jan 16,  2021","115"
"Jan 17,  2021","96"
"Jan 18,  2021","129"
"Jan 19,  2021","145"
"Jan 20,  2021","136"
"Jan 21,  2021","148"
"Jan 22,  2021","140"
"Jan 23,  2021","110"
"Jan 24,  2021","128"
"Jan 25,  2021","170"
"Jan 26,  2021","131"
"Jan 27,  2021","128"
"Jan 28,  2021","136"
"Jan 29,  2021","142"
"Jan 30,  2021","124"
"Jan 31,  2021","130"
"Feb 2021","3,389"
"Feb 1,  2021","169"
"Feb 2,  2021","133"
"Feb 3,  2021","121"
"Feb 4,  2021","138"
"Feb 5,  2021","145"
"Feb 6,  2021","119"
"Feb 7,  2021","138"
"Feb 8,  2021","148"
"Feb 9,  2021","135"
"Feb 10,  2021","116"
"Feb 11,  2021","99"
"Feb 12,  2021","116"
"Feb 13,  2021","109"
"Feb 14,  2021","69"
"Feb 15,  2021","104"
"Feb 16,  2021","148"
"Feb 17,  2021","90"
"Feb 18,  2021","106"
"Feb 19,  2021","141"
"Feb 20,  2021","112"
"Feb 21,  2021","103"
"Feb 22,  2021","134"
"Feb 23,  2021","110"
"Feb 24,  2021","130"
"Feb 25,  2021","104"
"Feb 26,  2021","133"
"Feb 27,  2021","95"
"Feb 28,  2021","124"
"Mar 2021","4,697"
"Mar 1,  2021","211"
"Mar 2,  2021","188"
"Mar 3,  2021","152"
"Mar 4,  2021","161"
"Mar 5,  2021","165"
"Mar 6,  2021","123"
"Mar 7,  2021","137"
"Mar 8,  2021","204"
"Mar 9,  2021","173"
"Mar 10,  2021","197"
"Mar 11,  2021","188"
"Mar 12,  2021","207"
"Mar 13,  2021","101"
"Mar 14,  2021","92"
"Mar 15,  2021","160"
"Mar 16,  2021","165"
"Mar 17,  2021","168"
"Mar 18,  2021","142"
"Mar 19,  2021","158"
"Mar 20,  2021","154"
"Mar 21,  2021","87"
"Mar 22,  2021","156"
"Mar 23,  2021","174"
"Mar 24,  2021","145"
"Mar 25,  2021","105"
"Mar 26,  2021","163"
"Mar 27,  2021","117"
"Mar 28,  2021","96"
"Mar 29,  2021","171"
"Mar 30,  2021","112"
"Mar 31,  2021","125"
"Apr 2021","3,201"
"Apr 1,  2021","185"
"Apr 2,  2021","127"
"Apr 3,  2021","125"
"Apr 4,  2021","100"
"Apr 5,  2021","146"
"Apr 6,  2021","117"
"Apr 7,  2021","106"
"Apr 8,  2021","113"
"Apr 9,  2021","139"
"Apr 10,  2021","122"
"Apr 11,  2021","113"
"Apr 12,  2021","148"
"Apr 13,  2021","103"
"Apr 14,  2021","99"
"Apr 15,  2021","109"
"Apr 16,  2021","110"
"Apr 17,  2021","127"
"Apr 18,  2021","110"
"Apr 19,  2021","111"
"Apr 20,  2021","75"
"Apr 21,  2021","95"
"Apr 22,  2021","74"
"Apr 23,  2021","101"
"Apr 24,  2021","67"
"Apr 25,  2021","79"
"Apr 26,  2021","73"
"Apr 27,  2021","88"
"Apr 28,  2021","79"
"Apr 29,  2021","68"
"Apr 30,  2021","92"
"May 2021","3,582"
"May 1,  2021","199"
"May 2,  2021","79"
"May 3,  2021","117"
"May 4,  2021","90"
"May 5,  2021","110"
"May 6,  2021","107"
"May 7,  2021","134"
"May 8,  2021","116"
"May 9,  2021","119"
"May 10,  2021","139"
"May 11,  2021","95"
"May 12,  2021","94"
"May 13,  2021","98"
"May 14,  2021","105"
"May 15,  2021","92"
"May 16,  2021","100"
"May 17,  2021","148"
"May 18,  2021","99"
"May 19,  2021","117"
"May 20,  2021","128"
"May 21,  2021","113"
"May 22,  2021","105"
"May 23,  2021","132"
"May 24,  2021","146"
"May 25,  2021","123"
"May 26,  2021","115"
"May 27,  2021","135"
"May 28,  2021","108"
"May 29,  2021","113"
"May 30,  2021","94"
"May 31,  2021","112"
"Jun 2021","3,415"
"Jun 1,  2021","170"
"Jun 2,  2021","105"
"Jun 3,  2021","96"
"Jun 4,  2021","121"
"Jun 5,  2021","127"
"Jun 6,  2021","127"
"Jun 7,  2021","114"
"Jun 8,  2021","121"
"Jun 9,  2021","87"
"Jun 10,  2021","127"
"Jun 11,  2021","104"
"Jun 12,  2021","105"
"Jun 13,  2021","139"
"Jun 14,  2021","108"
"Jun 15,  2021","121"
"Jun 16,  2021","116"
"Jun 17,  2021","103"
"Jun 18,  2021","128"
"Jun 19,  2021","105"
"Jun 20,  2021","116"
"Jun 21,  2021","111"
"Jun 22,  2021","119"
"Jun 23,  2021","75"
"Jun 24,  2021","96"
"Jun 25,  2021","114"
"Jun 26,  2021","95"
"Jun 27,  2021","120"
"Jun 28,  2021","97"
"Jun 29,  2021","133"
"Jun 30,  2021","115"
"Jul 1,  2021","199"
"Jul 2,  2021","106"
"Jul 3,  2021","122"
"Jul 4,  2021","120"
"Jul 5,  2021","116"
"Jul 6,  2021","122"
"Jul 7,  2021","137"
"Jul 8,  2021","113"
"Jul 9,  2021","115"
"Jul 10,  2021","103"
"Jul 11,  2021","128"
"Jul 12,  2021","139"
"Jul 13,  2021","129"
"Jul 14,  2021","122"
"Jul 15,  2021","131"
"Jul 16,  2021","119"
"Jul 17,  2021","121"
"Jul 18,  2021","109"
"Jul 19,  2021","84"
"Jul 20,  2021","114"
"Jul 21,  2021","129"
"Jul 22,  2021","110"
"Jul 23,  2021","108"
"Jul 24,  2021","89"
"Jul 25,  2021","74"
"Jul 26,  2021","91"
"Jul 27,  2021","95"
"Jul 28,  2021","91"
"Jul 29,  2021","84"
"Jul 30,  2021","100"
"Jul 31,  2021","102"
"Aug 1,  2021","184"
"Aug 2,  2021","147"
"Aug 3,  2021","108"
"Aug 4,  2021","130"
"Aug 5,  2021","119"
"Aug 6,  2021","124"
"Aug 7,  2021","110"
"Aug 8,  2021","97"
"Aug 9,  2021","113"
"Aug 10,  2021","150"
"Aug 11,  2021","96"
"Aug 12,  2021","93"
"Aug 13,  2021","96"
"Aug 14,  2021","102"
"Aug 15,  2021","119"
"Aug 16,  2021","73"
"Aug 17,  2021","115"
"Aug 18,  2021","94"
"Aug 19,  2021","100"
"Aug 20,  2021","91"
"Aug 21,  2021","90"
"Aug 22,  2021","100"
"Aug 23,  2021","109"
"Aug 24,  2021","104"
"Aug 25,  2021","113"
"Aug 26,  2021","83"
"Aug 27,  2021","97"
"Aug 28,  2021","95"
"Aug 29,  2021","74"
"Aug 30,  2021","87"
"Aug 31,  2021","85"
"Sep 1,  2021","200"
"Sep 2,  2021","132"
"Sep 3,  2021","127"
"Sep 4,  2021","135"
"Sep 5,  2021","138"
"Sep 6,  2021","134"
"Sep 7,  2021","137"
"Sep 8,  2021","99"
"Sep 9,  2021","128"
"Sep 10,  2021","99"
"Sep 11,  2021","108"
"Sep 12,  2021","119"
"Sep 13,  2021","99"
"Sep 14,  2021","125"
"Sep 15,  2021","136"
"Sep 16,  2021","108"
"Sep 17,  2021","122"
"Sep 18,  2021","127"
"Sep 19,  2021","116"
"Sep 20,  2021","111"
"Sep 21,  2021","113"
"Sep 22,  2021","121"
"Sep 23,  2021","109"
"Sep 24,  2021","108"
"Sep 25,  2021","103"
"Sep 26,  2021","118"
"Sep 27,  2021","119"
"Sep 28,  2021","103"
"Sep 29,  2021","115"
"Sep 30,  2021","120"
"Oct 1,  2021","225"
"Oct 2,  2021","136"
"Oct 3,  2021","128"
"Oct 4,  2021","133"
"Oct 5,  2021","140"
"Oct 6,  2021","147"
"Oct 7,  2021","146"
"Oct 8,  2021","126"
"Oct 9,  2021","135"
"Oct 10,  2021","123"
"Oct 11,  2021","141"
"Oct 12,  2021","114"
"Oct 13,  2021","134"
"Oct 14,  2021","105"
"Oct 15,  2021","126"
"Oct 16,  2021","93"
"Oct 17,  2021","114"
"Oct 18,  2021","110"
"Oct 19,  2021","111"
"Oct 20,  2021","125"
"Oct 21,  2021","93"
"Oct 22,  2021","110"
"Oct 23,  2021","116"
"Oct 24,  2021","126"
"Oct 25,  2021","103"
"Oct 26,  2021","105"
"Oct 27,  2021","102"
"Oct 28,  2021","90"
"Oct 29,  2021","95"
"Oct 30,  2021","97"
"Oct 31,  2021","94"
"Nov 1,  2021","172"
"Nov 2,  2021","107"
"Nov 3,  2021","111"
"Nov 4,  2021","98"
"Nov 5,  2021","152"
"Nov 6,  2021","134"
"Nov 7,  2021","158"
"Nov 8,  2021","112"
"Nov 9,  2021","123"
"Nov 10,  2021","119"
"Nov 11,  2021","128"
"Nov 12,  2021","131"
"Nov 13,  2021","110"
"Nov 14,  2021","119"
"Nov 15,  2021","133"
"Nov 16,  2021","132"
"Nov 17,  2021","105"
"Nov 18,  2021","110"
"Nov 19,  2021","121"
"Nov 20,  2021","132"
"Nov 21,  2021","113"
"Nov 22,  2021","122"
"Nov 23,  2021","123"
"Nov 24,  2021","108"
"Nov 25,  2021","94"
"Nov 26,  2021","111"
"Nov 27,  2021","108"
"Nov 28,  2021","90"
"Nov 29,  2021","125"
"Nov 30,  2021","156"
"Dec 1,  2021","166"
"Dec 2,  2021","125"
"Dec 3,  2021","126"
"Dec 4,  2021","121"
"Dec 5,  2021","112"
"Dec 6,  2021","118"
"Dec 7,  2021","131"
"Dec 8,  2021","113"
"Dec 9,  2021","120"
"Dec 10,  2021","123"
"Dec 11,  2021","109"
"Dec 12,  2021","97"
"Dec 13,  2021","141"
"Dec 14,  2021","112"
"Dec 15,  2021","114"
"Dec 16,  2021","110"
"Dec 17,  2021","116"
"Dec 18,  2021","115"
"Dec 19,  2021","92"
"Dec 20,  2021","128"
"Dec 21,  2021","134"
"Dec 22,  2021","113"
"Dec 23,  2021","110"
"Dec 24,  2021","107"
"Dec 25,  2021","80"
"Dec 26,  2021","103"
"Dec 27,  2021","119"
"Dec 28,  2021","94"
"Dec 29,  2021","91"
"Dec 30,  2021","94"
"Dec 31,  2021","114"
"2018","41,809"
"2019","44,029"
"2020","43,892"
"2021","44,378"
"2022","34,914"
